"Part Number","Library Ref","Resistance","Tolerance","Current Rating","Voltage Rating (DC)","Case Code (Imperial)","Power Rating","Mount","Manufacturer","Manufacturer Part Number","Description","Footprint Ref","Height","HelpURL","RoHS","Max Operating Temperature","Stats"
"R_0R02_1206_1","R","20m","1%",,,"1206","250mW","Surface Mount","Yageo","PF1206FRF070R02L","Current Sense Resistor","R_1206_3216","0.6mm","https://pl.mouser.com/datasheet/2/447/PYu-PRPFPH_521_RoHS_L_0-1596.pdf","Compliant","155","MK"
"R_0R020_0805_1","R","20m","1%",,,"0805","500mW","Surface Mount","Bourns","CRF0805-FZ-R020ELF",,"R_0805_2012","600µm","https://pl.mouser.com/datasheet/2/54/CRF-347033.pdf",,"170°C",
"R_0R03_1206_1","R","30m","1%",,,"1206","63mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_0R039_1206_1","R","39m","1%",,,"1206","1W","Surface Mount",,,,"R_1206_3216","760µm",,,"125°C",
"R_0R04_2512","R","40m","0",,,"2512","0W","Surface Mount",,,,"R_2512_6432","0mm",,,"0°C",
"R_0R05_0805_1","R","50m","1%",,,"0805","250mW","Surface Mount","Bourns","CRM0805-FW-R050ELF ","Thick Film Resistor","R_0805_2012","0.4mm","https://pl.mouser.com/datasheet/2/54/CRM0805_1206_2010-1110565.pdf","Compliant","-55","MK"
"R_0R05_1206_5","R","50m","5%",,,"1206","1W","Surface Mount",,,,"R_1206_3216","762µm",,,"125°C",
"R_0R05_D2PAK_5","PWR163S","50m","5%",,"250V","D2PAK","25W","Surface Mount","Bourns","https://datasheet.octopart.com/PWR163S-25-R050J-Bourns-datasheet-66895618.pdf","High Power Current Sense Resistor","D2PAK_TO263","2.79mm","https://datasheet.octopart.com/PWR163S-25-R050J-Bourns-datasheet-66895618.pdf","Compliant","155","MK"
"R_0R1_0805_1","R","0.1","1%",,,"0805","125mW","Surface Mount","Bourns","CRM0805AFX-R100ELF","Thick Film Resistor","R_0805_2012","0.5mm","https://pl.mouser.com/datasheet/2/54/bourns_06052019_CRxxxxA-AS_datasheet-1601153.pdf","Compliant","155","MK"
"R_0R1_1206_1","R","0.1","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_0R1_2512_1","R","100m","1%",,,"2512","1W","Surface Mount","Bourns","CRL2512-FW-R100ELF","Thick Film Resistor","R_2512_6432","500um","http://datasheet.octopart.com/CRL2512-FW-R100ELF-Bourns-datasheet-68302002.pdf","Compliant","125","MK"
"R_0R2_1206_1","R","0.2","1%",,,"1206","250mW","Surface Mount","Yageo","RL1206FR-070R2L","Current Sense Resistor","R_1206_3216","0.55mm","https://pl.mouser.com/datasheet/2/447/PYu-RL_Group_521_RoHS_L_2-1131815.pdf","Compliant","125","MK"
"R_0R2_2512_1","R","0.2","1%",,,"2512","1W","Surface Mount",,,,"R_2512_6432","550µm",,,"125°C",
"R_0R2_4527_0.5","R","200m","0.5%",,,"4527","2W","Surface Mount","KOA Speer","SLN2TTEDR200D","Molded Current Sense Resistor","R_4527_11570","2.4mm","https://pl.mouser.com/datasheet/2/219/SL07-1-2-3-SLN2-SLZ-TSL-944281.pdf","Compliant","180","MK"
"R_0R25_2512","R","0.25","0",,,"2512","0W","Surface Mount",,,,"R_2512_6432","0mm",,,"0°C",
"R_0R27_0805_1","R","0.27","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","600µm",,,"125°C",
"R_0R27_1206_5","R","0.27","0",,,"1206","500mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_0R33_1206_1","R","0.33","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_0R330_1206_1","R","0.33","1%",,,"1206","250mW","Surface Mount",,,,"R_1206_3216","550µm",,,"155°C",
"R_0R47_0805_1","R","0.47","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
